company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5yr,composite_quality_score,broad_sector_x,company_name,broad_sector_y,sub_sector,fiscal_year,peer_group_name,is_benchmark,score_roe,score_roce,score_margin,score_revenue_growth,score_profit_growth,score_debt,score_fcf,score_fcf_yield,score_pe,score_pb,composite_score,debt_free_flag,fcf_positive_flag,peer_score_roe,peer_score_margin,peer_score_revenue_growth,peer_score_profit_growth,peer_score_debt,peer_score_fcf,peer_composite_score,peer_group_size
ZYDUSLIFE,Mar 2024,20.32536962193687,27.54386862434133,18.20389461626575,0.0087056128293241,66.46913580246914,0.6216052916110157,1736.0,7.632884841663682,38.0,,8.0,190.0,3228.0,6.520884893219292,26.969209473979937,28.138071143961028,0.8124842688144979,,,,,2024,,,96.93877551020408,50,76.47058823529412,85.85858585858585,92.94117647058823,85.14851485148515,92.07920792079209,50,50,50,79.23061177666385,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
ICICIBANK,Mar 2024,28.8880112339828,62.41380175029464,17.99027109750765,6.445624336310825,1.301063746373592,0.0674753591592102,12547.0,90.7350986734873,63.0,365.0,16.0,1651008.0,157284.0,17.25086850260209,51.94877118224903,55.18455739153598,3.413207178663657,Financials,ICICI Bank Ltd,Financials,Private Banks,2024,Private Banks,False,95.91836734693877,50,94.11764705882352,93.93939393939394,96.47058823529412,9.9009900990099,94.05940594059405,50,50,50,75.25705673808676,False,True,100.0,80.0,80.0,100.0,60.0,80.0,85.33333333333333,5.0
HDFCBANK,Mar 2024,23.07288232992184,61.41252040373843,14.33974005030719,6.808786667718385,1.4008974956974891,0.0703809791786698,35669.0,5.852303374945795,84.0,601.0,23.0,3107503.0,19069.0,21.95098428169122,23.865063572879077,15.424788082530828,0.2913699844146319,Financials,HDFC Bank Ltd,Financials,Private Banks,2024,Private Banks,True,90.81632653061224,50,88.23529411764706,96.96969696969697,91.76470588235294,7.920792079207917,100.0,50,50,50,74.04821802708483,False,True,60.0,60.0,100.0,60.0,40.0,100.0,70.66666666666667,5.0
SBIN,Mar 2024,15.83441297482405,-13.729168991026642,,0.0,-0.2321472572150183,,18156.0,0.791458802474561,75.0,465.0,18.0,0.0,21632.0,11.63380022632805,83.4069542329295,90.36539387158786,0.3110593445781746,Financials,State Bank of India,Financials,Public Sector Banks,2024,Public Sector Banks,True,,50,58.82352941176471,89.8989898989899,98.82352941176471,96.03960396039604,96.03960396039604,50,50,50,73.39865162986887,False,True,50.0,75.0,50.0,75.0,75.0,100.0,68.33333333333333,4.0
KOTAKBANK,Mar 2024,32.386151466116615,83.66733645109092,14.013018188532914,4.003739266919029,1.237006073034151,0.0732570242045053,6766.0,15.859665344879708,92.0,654.0,2.0,520374.0,15685.0,13.51960376324537,20.38200065626572,19.344070441601247,0.8611980453522209,Financials,"Kotak Mahindra Bank Ltd
",Financials,Private Banks,2024,Private Banks,False,87.75510204081633,50,100.0,90.9090909090909,88.23529411764706,12.871287128712872,93.06930693069307,50,50,50,73.12898246607374,False,True,20.0,100.0,20.0,20.0,80.0,60.0,44.0,5.0
SIEMENS,Sep 2024,12.221223021582734,13.9568345323741,17.698769290877124,0.0181676108614963,51.73333333333333,0.8790861298865568,1168.0,2.2571942446043165,76.0,431.0,16.0,279.0,1670.0,11.193358902067896,19.85339817550189,19.643850003755613,0.6144223693892568,Industrials,Siemens Ltd,Industrials,Capital Goods,2024,,,94.89795918367348,50,23.52941176470588,87.87878787878788,87.05882352941177,80.19801980198021,90.0990099009901,50,50,50,72.3579797355486,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
UNITDSPR,Mar 2024,12.437063863616288,17.66628389718223,18.448637316561843,0.0678721174004192,26.31578947368421,0.9469677959012964,1344.0,1.996290080381592,19.0,,46.0,518.0,1118.0,3.955432589460961,17.788315494227902,16.11871423331621,0.7940340909090909,,,,,2024,,,97.95918367346938,50,35.294117647058826,83.83838383838383,85.88235294117646,69.3069306930693,91.0891089108911,50,50,50,72.22100379305638,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
CANBK,Mar 2024,13.935160470145403,41.75390656810141,16.716051794688113,14.867419925542425,1.6109055365496054,0.0719985042520674,13296.0,1.583438141857961,17.0,102.0,19.0,1369780.0,15046.0,18.17561078322378,85.7752850068174,53.4206382524911,0.976949548730602,Financials,Canara Bank,Financials,Public Sector Banks,2024,Public Sector Banks,False,93.87755102040816,50,52.94117647058824,95.95959595959596,100.0,0.0,95.04950495049505,50,50,50,70.77464018910894,False,True,66.66666666666666,50.0,100.0,100.0,0.0,75.0,70.0,4.0
WIPRO,Mar 2024,12.379679144385026,18.66310160427808,13.655131734172238,0.2369494691309477,13.34820717131474,0.7149229004715177,18766.0,1.2745098039215683,11.0,,5.0,19282.0,17622.0,7.982735030804555,2.603400596150096,4.095039696925684,1.58585313174946,,,,,2024,,,86.73469387755102,50,29.411764705882355,86.86868686868688,84.70588235294117,52.475247524752476,98.01980198019803,50,50,50,69.23707088596014,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
UNIONBANK,Mar 2024,13.745317605802184,4.572806248505619,14.136560175413432,12.823705403799256,0.0724386086736948,0.0715950687448466,18536.0,1.3887781939905954,18.0,,20.0,1251568.0,19930.0,23.945769366938308,,,1.4445169239689788,,,,,2024,,,88.77551020408163,50,47.05882352941176,97.97979797979798,,0.990099009900991,97.02970297029702,50,50,50,62.52115877854292,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
